date,total_orders,gmv_krw,ad_spend_krw,rocket_orders,wow_orders,promo_flag
2024-03-29,7003,196084000,12153019,4842,2161,0
2024-03-30,8187,229236000,9851310,5688,2499,0
2024-03-31,6637,185836000,8930531,4634,2003,0
2024-04-01,6045,169260000,8008186,4242,1803,0
2024-04-02,5552,155456000,7214793,3915,1637,0
2024-04-03,5672,158816000,8369683,4019,1653,0
2024-04-04,5661,158508000,8159248,4031,1630,0
2024-04-05,6795,190260000,10519826,4861,1934,0
2024-04-06,8203,229684000,11055842,5895,2308,0
2024-04-07,6753,189084000,7691749,4874,1879,0
2024-04-08,5814,162792000,8090814,4214,1600,0
2024-04-09,5750,161000000,8529705,4185,1565,0
2024-04-10,5404,151312000,9268813,3948,1456,0
2024-04-11,9213,257964000,14009748,6756,2457,1
2024-04-12,7204,201712000,12706427,5301,1903,0
2024-04-13,7954,222712000,9438330,5871,2083,0
2024-04-14,6693,187404000,7878572,4955,1738,0
2024-04-15,5991,167748000,8470654,4447,1544,0
2024-04-16,6444,180432000,8224793,4794,1650,0
2024-04-17,5939,166292000,7501840,4428,1511,0
2024-04-18,5972,167216000,7833502,4460,1512,0
2024-04-19,7357,205996000,10605599,5503,1854,0
2024-04-20,7701,215628000,10528508,5767,1934,0
2024-04-21,6800,190400000,8679682,5096,1704,0
2024-04-22,5946,166488000,8285612,4459,1487,0
2024-04-23,6675,186900000,7445672,5006,1669,0
2024-04-24,5887,164836000,8719680,4415,1472,0
2024-04-25,6044,169232000,8245840,4530,1514,0
2024-04-26,7441,208348000,11650290,5573,1868,0
2024-04-27,8007,224196000,11503703,5991,2016,0
2024-04-28,7217,202076000,7336804,5392,1825,0
2024-04-29,6212,173936000,7551855,4634,1578,0
2024-04-30,6232,174496000,8597835,4639,1593,0
2024-05-01,5730,160440000,8488296,4256,1474,0
2024-05-02,6432,180096000,7983279,4765,1667,0
2024-05-03,7104,198912000,11093862,5248,1856,0
2024-05-04,8615,241220000,12022132,6344,2271,0
2024-05-05,7598,212744000,7526743,5577,2021,0
2024-05-06,5747,160916000,8437678,4203,1544,0
2024-05-07,5883,164724000,7838246,4286,1597,0
2024-05-08,6091,170548000,7825855,4420,1671,0
2024-05-09,5918,165704000,8879021,4276,1642,0
2024-05-10,7131,199668000,11660333,5130,2001,0
2024-05-11,13652,382256000,18650808,9777,3875,1
2024-05-12,6689,187292000,9044383,4768,1921,0
2024-05-13,6244,174832000,8016803,4430,1814,0
2024-05-14,5835,163380000,8545562,4120,1715,0
2024-05-15,6584,184352000,7751787,4626,1958,0
2024-05-16,5892,164976000,8259333,4119,1773,0
2024-05-17,7573,212044000,10895886,5268,2305,0
2024-05-18,8845,247660000,11077597,6123,2722,0
2024-05-19,6705,187740000,8476126,4618,2087,0
2024-05-20,6228,174384000,7345423,4269,1959,0
2024-05-21,6561,183708000,9673910,4476,2085,0
2024-05-22,5695,159460000,7195186,3867,1828,0
2024-05-23,6240,174720000,7028649,4218,2022,0
2024-05-24,12465,349020000,18926489,8388,4077,1
2024-05-25,8917,249676000,11633330,5975,2942,0
2024-05-26,6770,189560000,8499296,4518,2252,0
2024-05-27,5822,163016000,8502676,3870,1952,0
2024-05-28,6383,178724000,7990203,4228,2155,0
2024-05-29,6324,177072000,7282197,4175,2149,0
2024-05-30,6318,176904000,8060644,4159,2159,0
2024-05-31,7918,221704000,10458271,5197,2721,0
2024-06-01,8560,239680000,11780096,5605,2955,0
2024-06-02,7278,203784000,7882354,4756,2522,0
2024-06-03,6364,178192000,7339602,4151,2213,0
2024-06-04,6070,169960000,7742891,3954,2116,0
2024-06-05,6853,191884000,8330345,4459,2394,0
2024-06-06,6443,180404000,7549020,4189,2254,0
2024-06-07,7529,210812000,10342224,4894,2635,0
2024-06-08,9042,253176000,11194950,5878,3164,0
2024-06-09,6982,195496000,8195973,4541,2441,0
2024-06-10,6570,183960000,7594445,4276,2294,0
2024-06-11,10496,293888000,14623169,6839,3657,1
2024-06-12,6105,170940000,8185640,3984,2121,0
2024-06-13,6648,186144000,6841533,4346,2302,0
2024-06-14,8083,226324000,9874029,5296,2787,0
2024-06-15,9173,256844000,10425245,6025,3148,0
2024-06-16,7911,221508000,7829242,5211,2700,0
2024-06-17,6319,176932000,8248726,4175,2144,0
2024-06-18,6174,172872000,9180285,4093,2081,0
2024-06-19,6142,171976000,8686128,4087,2055,0
2024-06-20,6172,172816000,7872049,4123,2049,0
2024-06-21,8009,224252000,10984787,5372,2637,0
2024-06-22,9110,255080000,10197977,6137,2973,0
2024-06-23,7491,209748000,7985189,5069,2422,0
2024-06-24,6698,187544000,7769073,4553,2145,0
2024-06-25,6462,180936000,8258175,4413,2049,0
2024-06-26,6903,193284000,7338215,4737,2166,0
2024-06-27,6396,179088000,8415477,4411,1985,0
2024-06-28,8920,249760000,12226191,6182,2738,0
2024-06-29,9276,259728000,10912992,6461,2815,0
2024-06-30,7218,202104000,8321369,5053,2165,0
