ds,y
2024-02-26,165
2024-02-27,150
2024-02-28,159
2024-02-29,157
2024-03-01,163
2024-03-02,190
2024-03-03,203
2024-03-04,161
2024-03-05,138
2024-03-06,143
2024-03-07,136
2024-03-08,151
2024-03-09,205
2024-03-10,211
2024-03-11,154
2024-03-12,166
2024-03-13,142
2024-03-14,140
2024-03-15,153
2024-03-16,203
2024-03-17,200
2024-03-18,137
2024-03-19,153
2024-03-20,144
2024-03-21,160
2024-03-22,157
2024-03-23,193
2024-03-24,197
2024-03-25,146
2024-03-26,154
2024-03-27,162
2024-03-28,147
2024-03-29,159
2024-03-30,197
2024-03-31,195
2024-04-01,154
2024-04-02,147
2024-04-03,151
2024-04-04,146
2024-04-05,171
2024-04-06,202
2024-04-07,196
2024-04-08,157
2024-04-09,154
2024-04-10,154
2024-04-11,160
2024-04-12,161
2024-04-13,198
2024-04-14,197
2024-04-15,153
2024-04-16,137
2024-04-17,143
2024-04-18,166
2024-04-19,169
2024-04-20,200
2024-04-21,207
2024-04-22,158
2024-04-23,180
2024-04-24,164
2024-04-25,154
2024-04-26,148
2024-04-27,189
2024-04-28,204
2024-04-29,149
2024-04-30,144
2024-05-01,150
2024-05-02,147
2024-05-03,169
2024-05-04,209
2024-05-05,202
2024-05-06,167
2024-05-07,156
2024-05-08,148
2024-05-09,167
2024-05-10,159
2024-05-11,193
2024-05-12,200
2024-05-13,148
2024-05-14,144
2024-05-15,162
2024-05-16,170
2024-05-17,143
2024-05-18,205
2024-05-19,195
2024-05-20,150
2024-05-21,149
2024-05-22,147
2024-05-23,154
2024-05-24,147
2024-05-25,202
2024-05-26,199
2024-05-27,152
2024-05-28,146
2024-05-29,149
2024-05-30,159
2024-05-31,157
2024-06-01,191
2024-06-02,200
2024-06-03,159
2024-06-04,140
2024-06-05,157
2024-06-06,147
2024-06-07,157
2024-06-08,192
2024-06-09,184
2024-06-10,139
2024-06-11,153
2024-06-12,154
2024-06-13,145
2024-06-14,157
2024-06-15,184
2024-06-16,197
2024-06-17,142
2024-06-18,146
2024-06-19,152
2024-06-20,144
2024-06-21,148
2024-06-22,204
2024-06-23,191
2024-06-24,157
2024-06-25,142
2024-06-26,155
2024-06-27,162
2024-06-28,130
2024-06-29,189
2024-06-30,200
2024-07-01,148
2024-07-02,153
2024-07-03,145
2024-07-04,150
2024-07-05,148
2024-07-06,203
2024-07-07,196
2024-07-08,152
2024-07-09,146
2024-07-10,145
2024-07-11,145
2024-07-12,152
2024-07-13,190
2024-07-14,195
2024-07-15,165
2024-07-16,155
2024-07-17,145
2024-07-18,158
2024-07-19,145
2024-07-20,176
2024-07-21,184
2024-07-22,133
2024-07-23,145
2024-07-24,147
2024-07-25,161
2024-07-26,150
2024-07-27,189
2024-07-28,198
2024-07-29,129
2024-07-30,149
2024-07-31,153
2024-08-01,135
2024-08-02,156
2024-08-03,193
2024-08-04,187
2024-08-05,151
2024-08-06,164
2024-08-07,147
2024-08-08,148
2024-08-09,142
2024-08-10,183
2024-08-11,196
2024-08-12,139
2024-08-13,146
2024-08-14,142
2024-08-15,149
2024-08-16,148
2024-08-17,197
2024-08-18,185
2024-08-19,143
2024-08-20,137
2024-08-21,141
2024-08-22,148
2024-08-23,151
2024-08-24,181
2024-08-25,195
2024-08-26,156
2024-08-27,148
2024-08-28,160
2024-08-29,138
2024-08-30,135
2024-08-31,174
2024-09-01,200
2024-09-02,150
2024-09-03,144
2024-09-04,147
2024-09-05,135
2024-09-06,164
2024-09-07,189
2024-09-08,189
2024-09-09,150
2024-09-10,148
2024-09-11,146
2024-09-12,138
2024-09-13,148
2024-09-14,203
2024-09-15,199
2024-09-16,157
2024-09-17,140
2024-09-18,137
2024-09-19,144
2024-09-20,145
2024-09-21,197
2024-09-22,174
2024-09-23,157
2024-09-24,143
2024-09-25,141
2024-09-26,137
2024-09-27,132
2024-09-28,195
2024-09-29,189
2024-09-30,135
2024-10-01,135
2024-10-02,142
2024-10-03,158
2024-10-04,143
2024-10-05,177
2024-10-06,187
2024-10-07,143
2024-10-08,124
2024-10-09,145
2024-10-10,144
2024-10-11,151
2024-10-12,204
2024-10-13,199
2024-10-14,144
2024-10-15,137
2024-10-16,167
2024-10-17,147
2024-10-18,147
2024-10-19,190
2024-10-20,192
2024-10-21,146
2024-10-22,142
2024-10-23,143
2024-10-24,147
2024-10-25,143
2024-10-26,186
2024-10-27,193
2024-10-28,146
2024-10-29,160
2024-10-30,127
2024-10-31,157
2024-11-01,158
2024-11-02,176
2024-11-03,190
2024-11-04,146
2024-11-05,138
2024-11-06,143
2024-11-07,140
2024-11-08,163
2024-11-09,202
2024-11-10,205
2024-11-11,156
2024-11-12,141
2024-11-13,146
2024-11-14,154
2024-11-15,141
2024-11-16,202
2024-11-17,194
2024-11-18,148
2024-11-19,157
2024-11-20,155
2024-11-21,149
2024-11-22,161
2024-11-23,189
2024-11-24,203
2024-11-25,157
2024-11-26,150
2024-11-27,155
2024-11-28,143
2024-11-29,161
2024-11-30,198
2024-12-01,195
2024-12-02,162
2024-12-03,148
2024-12-04,143
2024-12-05,142
2024-12-06,159
2024-12-07,191
2024-12-08,216
2024-12-09,139
2024-12-10,169
2024-12-11,157
2024-12-12,155
2024-12-13,152
2024-12-14,206
2024-12-15,203
2024-12-16,166
2024-12-17,158
2024-12-18,158
2024-12-19,155
2024-12-20,157
2024-12-21,208
2024-12-22,192
2024-12-23,148
2024-12-24,164
2024-12-25,160
2024-12-26,158
2024-12-27,159
2024-12-28,210
2024-12-29,203
2024-12-30,154
2024-12-31,162
