userId,movieId,rating
22,28,4
22,25,4
22,19,3
22,18,1
22,21,2
22,14,4
22,7,5
22,29,1
22,15,4
23,13,3
23,1,5
23,30,4
23,18,4
23,29,3
23,16,1
23,15,2
23,3,5
23,6,1
23,4,5
23,24,4
23,20,2
23,8,4
23,17,5
24,16,3
24,25,1
24,1,5
24,30,4
24,19,5
24,4,1
24,18,1
24,3,5
25,24,5
25,25,5
25,2,1
25,14,4
25,23,5
25,5,4
25,1,5
25,21,5
25,30,3
25,18,1
26,22,3
26,17,5
26,26,4
26,18,4
26,20,3
26,29,1
26,5,1
26,14,4
26,15,1
26,3,1
26,13,2
27,16,4
27,8,3
27,4,5
27,23,1
27,27,1
27,17,3
27,30,3
27,20,4
27,10,3
27,18,5
27,13,3
27,2,1
27,5,1
27,28,5
27,25,1
28,17,2
28,2,3
28,14,3
28,9,4
28,25,3
28,29,4
28,28,3
28,27,4
28,6,4
28,5,2
28,11,2
28,12,4
28,10,2
28,16,3
28,7,1
29,12,5
29,20,2
29,26,3
29,11,1
29,22,1
29,14,1
29,9,1
29,13,5
29,24,5
29,16,5
29,4,1
30,2,3
30,14,2
30,5,4
30,13,1
30,9,2
30,7,4
30,10,4
30,21,1
31,23,3
31,11,1
31,20,4
31,12,1
31,22,3
31,7,5
31,21,5
31,24,5
31,29,5
31,2,3
31,5,2
31,9,5
32,22,1
32,25,3
32,10,5
32,19,3
32,21,4
32,17,3
32,15,1
32,8,1
32,3,2
32,13,2
32,11,5
32,12,5
32,2,5
32,23,4
33,13,3
33,21,5
33,9,2
33,24,3
33,2,1
33,27,5
33,19,2
33,18,2
33,15,3
33,10,3
33,16,5
33,23,3
34,25,3
34,22,1
34,28,3
34,1,2
34,5,1
34,10,4
34,23,3
34,11,4
34,16,4
34,2,5
34,30,5
34,9,4
35,17,5
35,16,4
35,19,5
35,13,4
35,8,4
35,28,2
35,14,1
35,25,1
35,24,2
35,27,1
35,4,3
35,11,4
35,3,5
35,21,3
35,7,5
36,5,4
36,8,4
36,9,4
36,16,1
36,30,5
36,15,4
36,3,4
36,23,2
36,19,5
36,28,2
36,14,1
36,6,5
36,26,2
36,2,1
36,24,4
37,11,3
37,30,5
37,19,3
37,1,2
37,16,4
37,8,5
37,14,5
37,24,2
37,28,4
38,9,1
38,3,1
38,19,3
38,11,1
38,8,5
38,7,5
38,25,4
38,28,4
38,20,3
38,13,1
38,5,2
38,22,3
39,9,5
39,15,2
39,4,2
39,2,3
39,7,2
39,3,5
39,1,5
39,23,2
39,29,3
39,24,5
39,14,4
39,8,2
39,20,3
39,28,4
39,6,4
40,8,3
40,5,4
40,9,4
40,25,3
40,11,5
40,21,3
40,7,5
40,29,5
