,name,worktime,parking,address,phone
14,삼성생명강남사옥점,월-금 07:00~18:00 | 토/일/공휴일 휴점,주차정보1시간 무료주차,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,02-581-5562
15,방배카페골목점,월-일 08:00~22:30,커피빈 이용시 건물 주차장 조건부 이용가능 [기본료 발렛비 1000원 부과] 고객 30분 무료주차 (7000원 이상 구매시) 1시간 무료주차 이후 30분 초과시 1500원,서울특별시 서초구 방배중앙로 187,02-592-7794
16,역삼포스틸타워뒷점,"평일 07:00~22:00 | 토요일 08:00~22:00 | 일,공휴일 09:00~20:00",,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,02-554-9962
17,테헤란로하이닉스뒷점,평일 07:00~22:00 | 토 07:00~21:00ㅣ일 08:00~21:00,구매영수증 지참 시 30분 무료(10분씩 1000원 주차요금)-대형차량불가,서울시 강남구 테헤란로 70길 12 1층,02-538-9927
18,삼성봉은사로점,매일 07:00~22:00,"유료주차 최초 30분 2,000원 초과시 15분당 1,000원 . 일요일  무료주차",서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523
19,방이점,매일 7:00 - 24:00,주차불가,서울시 송파구 오금로 11길 7,02-415-5561
20,매봉역점,월-수07:00~22:00 | 목-금07:00~22:30ㅣ주말 07:30~22:00,주차공간따로 없음.,서울시 강남구 논현로 38길 42 418호,02-529-9947
21,남부터미널역점,월-금 7:00~22:00 | 주말 7:30~22:00,.,서울시 서초구 서초중앙로 43 로얄타워1층,02-523-3671
22,강남역랭기지타워점,"월~목 07:00-21:00 | 금 07:00-22:00ㅣ 토,일 07:30~21:00","30분 무료주차 10분 추가시 1,000원",서울시 강남구 테헤란로4길 28 826-28호 1층,02-563-3655
23,도심공항타워점,"월-수 : 6:30-22:00 | 목,금 : 6:30-23:00 | 주말&공휴일 : 7:00-22:00",유료주차 (코엑스몰 주차장)(추석 영업시간 10/6 09:00 ~ 22:00),서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330
24,청담카페점,| 월-금 07:00~22:00 | 토 07:00~22:00 | 일/공휴일 07:00~22:00,"발렛주차가능(10시~22:00분까지) 최초 2시간 5,000원(기본), 10분 초과당 1,000원 부과","서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622
25,광화문점,월-금 07:00~23:00 | 토요일 07:00~23:00 | 일/공휴일 07:00~23:00,"브루잉 바 이용 가능유료주차 최초 30분 2,000원, 10분당 1,000원",서울 종로구 서린동 136 센트리얼빌딩 1층,02-3210-2326
26,경희궁의아침점,월-금 07:00-20:00 | 토요일 08:00-20:00 | 일요일/공휴일 08:00-20:00,건물지하3층 주차장( 1시간 무료주차 가능),서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외,02-730-8896
27,홍대역점,월~일 08:00 ~ 24:00,(콘센트 이용 가능) / 주차 불가,서울시 마포구 홍익로 6길 26,02-333-4278
28,순화점,월-금 07:00~22:00 | 토 08:00~22:00 | 일/공휴일 08:00~22:00,"1시간 무료주차(호텔 주차장) 시간 초과시 10분당 2,000원",서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,02-2220-8198
29,종로관철동점,"월-금 07:00~24:00  | 토 08:00~24:00 | 일,공휴일 08:00~24:00 |",무료주차불가 주변 유료주차장이용,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층",02-738-5333
30,소공동삼화빌딩점,월-금 07:30-20:00 | 토요일 08:00-20:00 | 일요일/공휴일 08:00-20:00,주차관련 - 건물 주차관리실에 별도 문의,서울 중구 남대문로7길 16 한컴빌딩 1층,02-753-8004
31,강변테크노마트점,매일 10:00~21:00 |,"지상 30분 무료주차, 지하 1시간 무료주차 / 주간 (9시~ 20시) / - 지상 2,000원 ,지하 1,000원, 야간 ( 20시~ 익일 9시) - 주간요금에서 50%할인",서울시 광진구 광나루로56길 85 테크노마트9층35호,02-3424-5480
32,외대앞점,"평일 08:00~22:00  | 주말,공휴일 08:00~22:00",,서울시 동대문구 이문로 106 1~3층,02-959-7750
33,고대안암역점,"월~금 06:30~24:00 | 주말,공휴일 07:00~24:00",주차정보1시간 무료주차가능,서울시 성북구 개운사길8 101-3 1층,02-953-6652
34,순화동라마다호텔점,월-금 07:00-20:00 | 토/일/공휴일 휴점,라마다 호텔 측 1시간 할인권 배포,서울시 중구 칠패로 27 151호,02-3789-3347
35,신촌점,월-금 07:00-22:00 | 토요일 08:00-22:00 | 일요일/공휴일 08:00-22:00,,서울시 서대문구 창천 18-26호 B1,02-363-5572
36,건대스타시티점,"월-금 07:00~22:00 | 주말,공휴일 07:00~22:00",주차정보30분 무료주차 1시간 무료주차 (1만원 이상 구매시)2시간 무료주차 (3만원 이상 구매시)3시간 무료주차 (5만원 이상 구매시) 이후 초과시 10분당 700원 부과,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,02-444-9861
37,하나은행경복궁역점,월-금 07:00-22:00 | 토요일 08:00-22:00 | 일요일/공휴일 08:00-22:00,"유료주차장이용해야함(30분당 2,000원)","서울시 종로구 사직로 130,1 현대적선빌딩1층",02-733-5108
38,서울스퀘어점,월-금 06:30-21:30 | 토요일 09:00-21:00 | 일요일/공휴일 09:00-21:00,"평일 18시 이전 1시간 무료 / 평일 18시 이후, 주말 및 공휴일 2시간 무료 / 10분 초과당 1,000원",서울시 중구 한강대로 416 지하1층,02-6456-8907
39,목동점,일-목 07:30-22:00 | 금-토 07:30-22:00,"10,000원이상 구매시 1시간 무료주차 / 20,000원이상 구매시 2시간 무료주차 (최대 2시간까지만 가능)",서울시 양천구 목동동로 293 현대41타워1층,02-2654-5981
40,여의도교보증권점,평일 06:30-22:30 | 토08:00~23:00ㅣ일 08:00-20:00,"교보증권빌딩 주차장 이용 / 평일:30분, 주말/공휴일 : 2시간 무료",서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,02-783-6058
41,여의도순복음교회옆점,월~금 06:30~22:00 l 토 7:30~22:00ㅣ일 7:00~22:00ㅣ공휴일 07:30-22:00,주차불가,서울시 영등포구 여의서로 43 한서리버파크2층,02-780-7758
42,일산웨스턴돔1호점,"평일 08:00~21:00 | 주말, 공휴일 08:00-21:00",매장 이용시 2시간 무료주차,경기도 고양시 일산동구 정발산로 24 I동103~203호,031-931-5573
43,분당차병원점,매일 7:00 - 22:00,주차불가,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",031-781-0471
44,분당수내점,평일 7:00~22:00ㅣ주말 8:00~22:00,"1시간 무료주차 30분 초과당 1,500원 부과",경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,031-713-9937
45,동탄라마다호텔점,월-금 07:30~23:00 I 토 08:00~23:00 | 일 08:00~22:00,"2시간 무료주차가능(건물지하 기계식 주차) 2시간 이후 10분당 1,000원 추가 금액 발생",경기도 화성시 노작로 199 동탄라마다호텔107호~111호,031-8003-8374
46,청주지웰시티점,평일/주말 07:30~22:00,지웰시티 상가주차장 : 2시간 무료주차,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",043-238-3151
47,무교CBTL점,월-금 10:00~21:30 | 주말/공휴일 12:00~21:00,"2시간 무료주차 (10분 초과당 1,000원) 24시 최대 30,000원 / 야간 주차요금 최대 5,000원 주말 및 공휴일 주차 최대 9,000원 (현금or카드결제시만 적용 될수 있으며 선불웹 할인시간권은 적용 되지 않음)",서울 중구 세종대로 136 파이낸스빌딩 지하2층,070-4140-7003
48,무교점,월-금 07:00~22:00 | 토요일 09:00~21:00 | 일/공휴일 09:00~21:00,,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4",02-753-2374
49,남대문점,월-금 07:00-21:00 | 토요일 08:00-20:00 | 일요일/공휴일 휴점,1만원이상 결제시 1시간 무료주차 가능 (건물주차장) / 발렛파킹불가.,서울시 중구 후암로110 581호 서울시티타워1층,02-777-4217
50,대학로마로니에점,"월 08:30~22:00 | 화~금 08:00~23:00 | 토 09:00~23:00 | 일, 공휴일 09:00~23:00 |",주차불가,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층",02-742-3318
51,인사점,월-금 06:30-22:30 | 토요일 07:00-22:30 | 일요일/공휴일 07:00-22:30,매장 이용시 1품목 구매 당 1시간 주차지원 (최대2시간),서울시 종로구 낙원동 272 오라카이스위츠 1층,02-783-2043
52,테헤란로비젼타워점,월-금 07:00~20:30 | 토-일 09:00~20:30,1시간 무료주차 (커피빈 이용시),서울시 강남구 테헤란로 312 707-2번지1층,02-558-7101
53,서울대입구역점,"평일 07:00~24:00 I 주말,공휴일 08:00~24:00 I",<와이파이이용가능> / 주차불가,"서울시 관악구 관악로 161 층일부 2,3층",02-882-3101
54,코엑스웨스틴서울점,평일 07:00~21:00ㅣ주말/공휴일 07:00~21:00,주차불가,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103
55,뉴압구정점,"월-목 07:00~23:00 | 금,토 07:00~23:00 | 일/공휴일 07:00~22:00","현재 2시간 3,000원(기본), 30분 초과당 2,000원 추가",서울시 강남구 논현로 167길 9 낙산프라자 1층,02-545-3181
56,현대자동차여의도점,월~금 06:30 ~ 22:00 | 토 07:30 ~ 22:00ㅣ일 07:30 ~ 22:00 ㅣ 공휴일 7:30 ~ 22:00,주차불가,서울시 영등포구 국제금융로 20 1층,02-783-3391
57,선릉로93길점,월-금 07:00~23:00 I 토 08:00~22:00 I 일/공휴일 08:00~22:00,기계식 주차장주차료 : 최초 30분 무료 / 이후 30분당 1천원[주차장 이용시 유의사항] ▶ 입고가능 시간 07:00~20:00 / 출고가능 시간07:00~22:30 ▶ 이용 불가시간 22:30~익일 07:00 / 일요일·공휴일 전날 사용불가,서울시 강남구 선릉로93길 6(역삼동) 1층,02-552-3177
58,강남역먹자골목점,월-목 07:30-23:00 | 금 07:30-24:00 | 토 08:00-24:00 | 일 08:00-23:00,주차불가,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층,02-552-6311
59,삼성로점,"월-금 07:00~23:00 | 주말,공휴일 07:30 - 22:00","발렛주차가능 2시간, 4,000원(기본) 이후 초과 10분 당 1,000원 부과","서울시 강남구 삼성로 551 1층,2층",02-552-9311
60,선릉로86길점,월-금 7:30~23:00 | 토 08:00~22:30 | 일 08:00~22:00,"건물내 주차타워 이용 1시간 3,000원(기본)(커피빈영수증 지참시 1,000원할인)",서울시 강남구 선릉로86길 11,02-2051-8875
61,뉴교보타워옆점,"월-목 07:00~23:00 | 금, 토 07:00~23:30 | 일 07:00~23:00",주차불가,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",02-591-5177
62,상암SBS미디어센터점,"평일 07:00-22:00 | 주말 08:30-20:00l 5/1(목) 08:30-20:00, 5/5 (월) 08:30-21:00",주차불가,서울시 마포구 상암산로 82 SBS프리즘타워 1층,02-2039-9027
63,마리오아울렛점,매일 10:30-21:00,2시간 무료주차 (유인정산소 이용시),서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층,02-857-5501
64,현대자동차남양연구소점,평일 : 06:30 ~ 18:30 / 주말(공휴일) : 휴무,<콘센트 이용가능> 연구소내 개인차량 주차 불가능,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,031-357-8103
65,서초뱅뱅사거리점,월-금 07:00-22:00  | 토 07:30-22:00 | 일 08:00-21:30 I [9~12일] 08:00~21:00,,"서울시 서초구 강남대로 267 2,3층",02-523-8841
66,현대자동차성내점,매일 07:00-22:00,주차불가( 인근 공영주차장이용 ),"서울시 강동구 천호대로 1096 1,2F",02-485-3361
67,수원인계점,월-금 07:30~22:00 | 주말/공휴일 08:00~22:00,"1시간 무료주차(30분 초과당 1,500원 부과)",경기도 수원시 팔달구 권광로 195 학산빌딩1층,031-233-5631
68,일산원마운트점,월-금 09:00~22:00 | 토요일 09:00~22:00 | 일/공휴일 09:00~22:00,[일반주차] 30분 무료주차(기본) 10분 초과당 300원부과 / 스노우파크/워터파크 이용 고객 종일 무료                                                                  [반려동물 전용 펫 존이 마련되어 있습니다^^],경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,031-961-6520
69,남양연구소C1식당점,평일 06:30-19:00 | 주말/공휴일 휴무,연구소내 개인차량 주차 불가능,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,031-357-8172
70,여의도교보증권카페점,평일 07:00~20:00  | 토요일 10:00 - 18:00 l 일요일/공휴일 휴점,"교보증권빌딩 주차장 이용 / 평일:30분 무료주차, 주말/공휴일 : 2시간 무료",서울시 영등포구 의사당대로 97 교보증권빌딩 2층,02-785-8845
71,압구정현대아파트점,월-금 07:00~21:00 | 토 07:30~21:00 | 일/공휴일 07:30~21:00,"* 건물 1층에 주차 공간 있습니다. (2대 가능) * 매장 옆 공영주차장 안내해 드리고 있습니다.( 토,일. 공휴일 무료) 2시간 이내 10분당 400원 /2시간 이후 10분 800원",서울시 강남구 압구정로29길65 지하1층,02-518-3350
72,역삼역4번출구점,월-금 07:00~23:00 | 토요일 08:00~23:00 | 일요일 08:00~21:00ㅣ공휴일 08:00~20:00,주차불가,서울시 강남구 테헤란로143 고운빌딩1층,02-508-1137
73,부평문화의거리점,월-목 09:00-23:00 | 금-토 09:00-24:00 | 일 09:00-23:00,주차불가,"인천광역시 부평구 시장로29 1,2층",032-507-9901
74,강남대로센터점,매일 07:00-23:00,주차불가,서울시 강남구 강남대로442 흥국화재빌딩 2층,02-565-3345
75,구로G-ValleyMall,평일 07:00-22:00 | 주말 09:00-21:00,1만원 구매 시 1시간 무료,서울시 구로구 디지털로300 지밸리비즈플라자 2층,02-6344-3966
76,도심공항점,"평일 07:00~22:00ㅣ주말,공휴일 08:00~22:00","<와이파이, 콘센트 이용가능> 코엑스몰 유료 지하주차장 이용 가능 1시간 무료주차 (코엑스몰 내 5만원 이상 구매시)",서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,02-551-6456
77,타임스퀘어점,월-목 07:00-22:00 | 금 07:00-22:30 | 토 08:00-22:30 | 일 08:00-22:30,주차불가,서울시 영등포구 영중로15 타임스퀘어 1층,02-2635-8830
78,차병원사거리점,월-금 07:00~22:30 | 토-일요일 08:00~22:00,<콘센트 이용가능> 건물 내 유료주차타워 이용,서울시 강남구 봉은사로207 KJ타워1층,02-542-8813
79,파르나스몰점,매일 07:00~22:00,"기본요금 : 최초 30분 4,500원 / 매 10분 초과시 1,500원 (최초 20분 미만 회차시 요금 미부과) | 파르나스 몰 구매금액별 주차 요금 :  5만원 미만 구매시 50% 할인(최대 3시간) / 5만원 이상 구매시 1시간 무료 / 10만원 이상 구매시 2시간 무료 / 15만원 이상 구매시 3시간 무료(추가 요금 50% 할인_최대 3시간)",서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008
80,광화문역1번출구점,월-금 07:00~22:00 | 주말 08:00~20:00,주차불가,서울시 종로구 새문안로5가길 7 1층 일부,02-723-3360
81,남양연구소PT동점,"월~금 07:00~18:30 | 토,일 휴무",주차 : 연구소내 개인 차량 주차 불가능,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,031-355-1346
82,여의도신영증권별관점,월~금 07:00~22:00 | 토~일 09:00~22:00,주차불가,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,02-782-1125
83,이태원제일기획옆점,월-목 07:00-22:00 | 금요일 07:00-23:00 | 토요일 08:00-23:00 | 일요일/공휴일 08:00-22:00,<콘센트 이용가능> / 주차불가,서울시 용산구 이태원로220(한남동) 1층,02-792-3560
84,강남역세계빌딩점,월-금 07:00~23:00 | 토 07:30~23:00 | 일 07:30~21:00,"발렛주차가능 (발렛이용금액 3,000원 / 음료 구매시 2시간 무료적용)",서울시 서초구 서초대로73길12 세계빌딩1층,02-592-0053
85,광교아브뉴프랑점,월~금 07:00~23:00 | 토~일 08:00~23:00,<콘센트 이용가능> 지하주차장 이용가능 무료주차: 30분 유료주차:  1시간 무료주차 (1만원 이상 구매시) 2시간 무료주차 (3만원 이상 구매시) 3시간 무료주차 (5만원 이상 구매시),"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",031-216-9308
86,광장동대한제지점,"월-금 07:00~22:00 | 주말,공휴일 07:00~22:00 |","1시간 무료주차 (커피빈 이용시) 15분 초과당 1,000원 (22시50분 이 후 주차불가)",서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,02-458-8166
87,신천역점,| 월-목 07:00~22:00 | 금 07:00~22:30 | 토 07:00~22:30 | 일 07:30~22:00,1시간 무료주차 (커피빈 이용시),서울시 송파구 올림픽로100 효창타워1층,02-417-8851
88,인천공항탑승동105gate앞점,매일 06:00~22:00,,인천광역시 중구 공항로272 인천공항 제1여객터미널 탑승동 3층 105GATE앞,032-743-7223
89,석촌호수점,"평일, 주말, 공휴일 07:00~22:00",1시간 무료주차 (1만원 이상 구매시),서울시 송파구 석촌호수로 222 제이타워 1층,02-415-1235
90,이천하이닉스점,평일 06:30~23:00 | 주말 09:00~19:00 | 공휴일 휴점,주차불가,경기 이천시 부발읍 하이닉스반도체,031-8094-7013
91,송도홈플러스점,매일 10:00~21:30,최초 30분 무료주차 / 이후 10분당 1천원요금부과1만원이상~2만원 미만 : 2시간무료2만원이상~3만원 미만 : 3시간 무료3만원이상 : 5시간 무료,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,032-822-5905
92,올림픽공원북2문앞점,매일 7:00 - 22:00,주말 및 공휴일 무료주차 (평일 주차 불가),서울시 강동구 강동대로193 1층,02-471-2372
93,삼성역글라스타워뒷점,"평일 06:30~22:00ㅣ주말,공휴일 07:30~21:00",,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,02-552-3363
94,포스코옆삼성로86길점,평일 08:00~21:00 | 주말/공휴일 :09:00~16:00,매장 앞 공영주차장 이용,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,02-569-7501
95,상암한국지역정보개발원점,| 평일 07:00~22:00 | 주말 08:00~21:00 | 공휴일 11:00~19:00,주차불가,서울시 마포구 성암로301 KLID한국지역정보개발원 1층,02-376-9162
96,분당정자점,매일 07:00-22:00,,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층,031-786-1906
97,신논현역점,월-금 07:00~23:00 I 토 08:00~23:00 | 일/공휴일 08:00~22:00,"발렛 주차 가능  - 발렛이용시 2,000원 비용 별도,  기본 30분 무료,  이후 10분당 1,000원 추가 부과",서울특별시 강남구 봉은사로108 글라스톤빌딩1층,02-569-9061
98,매헌역점,월~목 07:00~22:30 | 금 07:00~23:00 | 주말 07:30~22:00 I [9~12일] 08:00~21:00,반려동물 동반 입장 가능,서울시 서초구 동산로 1  1층,02-2058-0921
99,문래동점,| 월 ~금 07:30~22:00 | 토/일 08:30~22:00,건물내 주차 2시간 무료이용,서울시 영등포구 문래동6가 5번지 1층,02-2069-3157
100,역삼동태광타워점,"| 월-금 07:00~21:00 | 토,일 공휴일 09:00~20:00",,서울시 강남구 역삼동 718-20  태광타워 1층,02-569-9867
101,파주운정홈플러스점,"평일 10:00~21:30ㅣ주말 10:00~21:30ㅣ공휴일 10:00~21:30 (둘째, 넷째 수요일 휴무)",홈플러스 휴무일에 따라 휴무일이 달라질 수 있습니다.주차 : 최초 30분 무료 / 1만원 이상 구매 시 2시간 무료 .  매장에서 주차 등록 확인 필요.,경기도 파주시 청암로 17번길 17 1층,031-949-1408
102,홍대역8번출구점,"월-토 09:00~22:00 | 일,공휴일 09:00~22:00",주차불가,서울시 마포구 양화로18안길 7 2층,02-338-9463
103,원주AK플라자점,월-목 10:30~20:00ㅣ금-일 10:30~20:30,AK플라자 금액대별 무료주차 (최소1시간 이상),강원도 원주시 봉화로1 AK플라자원주점 1층,033-748-0631
104,화정중앙공원점,매일 08:00~23:00,,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호,031-979-9402
105,강남역12번출구점,월~금 06:30~22:00 | 토 07:30~21:30 | 일 07:30~21:00,,서울특별시 강남구 테헤란로 111 2층,02-569-5838
106,서초부띠크모나코점,월-금 07:30~21:00 I 토-일 08:00~21:00,"최초 30분 3,000원, 이후 10분당 1,000원",서울특별시 서초구 서초대로 397 부띠크모나코 1층,02-3478-5145
107,송파파크하비오점,월~금 07:00~23:00 | 토 08:00~23:00 | 일 08:00~23:00,기본 주차 1시간 이내 무료(시간 초과시 10분/500원)출차 서비스 : 무인 정산기 정산 시 30분 이내,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113,02-449-6881
108,문정역엠스테이트점,평일 07:00~22:00 | 토 08:00~22:00ㅣ일 08:00~21:00,매장 이용시 2시간 주차 무료,"서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147",02-6177-9080
109,상봉역점,"평일 07:00~23:00  | 토요일 08:00~23:00 | 일요일,공휴일 08:00~22:00",,서울특별시 중랑구 망우로 291 1층,02-493-8902
110,강동경희대병원앞점,"월~목,일 07:00~22:00 | 금,토 07:00~22:00",매장 이용시 주차 1시간 무료,서울특별시 강동구 동남로 885 양지빌딩 1층,02-481-9938
111,종각역점,일~목 10:00~22:00 | 금~토 10:00~23:00 | 공휴일 10:00~22:00,,서울시 종로구 종로 70 2층,02-739-6268
112,평택소사점,월-일  08:00 ~ 22:00,"제조음료 30% 할인! [주차] 5000원 이상 구매 시, 자동차 한 대 당 최대 1시간 무료. 이후 추가 10분당 500원","경기도 평택시 평남로 862, 로이드빌딩 1층",031-692-2405
113,몽촌토성역점,"월~목,일 07:00~22:00 | 금~토 07:00~23:00",주차 불가(인근 올림픽공원 주차장 이용),"서울시 송파구 방이동 44-2, 장은빌딩 1층",02-2141-0407
114,도곡동지오빌딩점,평일 07:00~21:00 | 주말 07:30~21:00,매장 앞 2대 무료주차,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층",02-2058-3027
115,강북구청앞점,평일 08:00~22:00 | 주말 08:00~22:00,,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)",02-994-8878
116,송도트리플스트리트점,매일 08:00~23:00,트리플스트리트 지하 주차장 가능(무료주차),"인천 연수구 송도과학로 16번길 33-4 D동 119호,207호",032-310-9644
117,구의삼성쉐르빌점,매일 07:00~22:00,"삼성쉐르빌 건물주차 이용가능, 음료구매시 1시간 30분 무료주차",서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층,02-2201-8953
118,여의도SK증권빌딩점,평일 06:30~22:30 | 주말 08:00~21:00,2시간무료 주차권 제공케이터링 서비스 가능,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층,02-6484-5150
119,한티역디마크빌딩점,월~목 07:00~22:00 | 금 07:00~22:30 | 토~일 07:00~22:00,주차정보지하주차장 1시간 무료,서울특별시 강남구 도곡로 408 디마크빌딩 1층,02-2052-6590
120,논현201-5번지점,월-금 08:00~21:00 | 토 09:00~21:00 I 일/공휴일 10:00~17:30,주차불가,"서울특별시 강남구  강남대로112길 20 1층, 2층",02-541-9563
121,수원송죽DT점,매일 07:00-23:00,주차가능,경기도 수원시 장안구 경수대로 989,031-248-6086
122,성남신흥점,"월-금 7:30-22:00 ㅣ 주말,공휴일 8:00-22:00",주차불가/ 인근 공영주차장 이용( 신흥제9공영주차장 ),경기도 성남시 수정구 수정로 190 (신흥동),031-759-6675
123,응암동점,월~금 08:00~21:00 |토 09:00~21:00 |일 09:00~21:00,주차불가,"서울시 은평구 은평로 121(응암동), 메디컬빌딩",02-389-6283
124,성균관대자연과학캠퍼스점,월~금 07:00~21:00 | 토 08:00~17:00 | 일 휴무,"최초 10분 미만(무료) /최초 10분 이후에서 1시간  1,500원 / 초과 30분당 500원(단, 2시간 이후 30분당 1,000원)","경기 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층",031-278-7640
125,IFC MALL점,평일 07:00~22:00 | 주말 09:30~22:00,30분 무료주차 / 2만원 이상 구매시 1시간 무료 / 4만원 이상 구매시 2시간 무료 / 6만원 이상 구매시 3시간 무료주차,서울시 영등포구 국제금융로10 IFC Mall L2 층,02-6137-5056
